,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id
609,7,1,2,4,7,3,1,3,4,2,1,1,7,1,2,4,rrssssl_rssslll_rsll_rrssssl
610,7,2,2,3,7,1,1,5,5,2,1,2,3,1,1,1,rrsssll_rsssssl_rssll_rsl
611,7,2,1,4,7,2,1,4,5,1,1,3,4,2,1,1,rssssll_rssssll_rsssl_rsll
612,7,2,1,4,7,2,2,3,5,1,1,3,5,1,2,2,rssssll_rrsssll_rsssl_rrssl
613,7,3,1,3,7,2,1,4,5,2,1,2,6,1,2,3,rssslll_rssssll_rssll_rrsssl
614,7,3,2,2,7,1,2,4,5,2,1,2,7,2,1,4,rrsslll_rrssssl_rssll_rssssll
615,7,2,2,3,7,2,1,4,6,2,2,2,3,1,1,1,rrsssll_rssssll_rrssll_rsl
616,7,1,2,4,7,2,1,4,6,2,2,2,4,1,1,2,rrssssl_rssssll_rrssll_rssl
617,7,1,2,4,7,1,2,4,6,3,1,2,5,2,2,1,rrssssl_rrssssl_rsslll_rrsll
618,7,2,1,4,7,3,1,3,6,3,2,1,6,2,1,3,rssssll_rssslll_rrslll_rsssll
619,7,3,2,2,7,2,2,3,6,3,2,1,7,2,1,4,rrsslll_rrsssll_rrslll_rssssll
620,7,3,2,2,7,2,2,3,7,2,2,3,3,1,1,1,rrsslll_rrsssll_rrsssll_rsl
621,7,3,1,3,7,2,1,4,7,3,1,3,4,1,2,1,rssslll_rssssll_rssslll_rrsl
622,7,3,1,3,7,3,1,3,7,3,1,3,5,2,1,2,rssslll_rssslll_rssslll_rssll
623,7,1,2,4,7,3,2,2,7,3,2,2,6,1,2,3,rrssssl_rrsslll_rrsslll_rrsssl
624,7,1,1,5,7,3,2,2,7,1,1,5,7,1,2,4,rsssssl_rrsslll_rsssssl_rrssssl
